bucket,inbound_count,url
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/angina-chest-pain/microvascular-angina
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/angina-chest-pain/prinzmetal-angina
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/angina-chest-pain/refractory-angina
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/cac-test
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/cardiac-computed-tomography
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/cardiac-mri
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/coronary-angiogram
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/exercise-stress-test
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/myocardial-perfusion-imaging
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/diagnosing-a-heart-attack/transesophageal-echocardiography
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/heart-attack-tools-and-resources
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/heart-attack-tools-and-resources/heart-attack-health-lesson
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/life-after-a-heart-attack
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/treatment-of-a-heart-attack/aspirin-and-heart-disease
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/treatment-of-a-heart-attack/cardiac-procedures-and-surgeries
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/treatment-of-a-heart-attack/implantable-medical-devices
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/treatment-of-a-heart-attack/stent
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/understand-your-risks-to-prevent-a-heart-attack
heart-attack,1,https://www.heart.org/en/health-topics/heart-attack/warning-signs-of-a-heart-attack/heart-attack-symptoms-in-women
high-blood-pressure,1,https://www.heart.org/en/health-topics/high-blood-pressure/changes-you-can-make-to-manage-high-blood-pressure/otc-medications-and-high-blood-pressure
fitness,1,https://www.heart.org/en/healthy-living/fitness
fitness,1,https://www.heart.org/en/healthy-living/fitness/exercise-and-physical-activity
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/aha-recs-for-physical-activity-in-adults
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/aha-recs-for-physical-activity-in-children
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/aha-recs-for-physical-activity-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/balance-exercise
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/endurance-exercise-aerobic
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/find-your-strength-infographic
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/flexibility-exercise-stretching
fitness,1,https://www.heart.org/en/healthy-living/fitness/fitness-basics/how-to-keep-cool-during-warm-weather-workouts
