order,source_types,link_texts,input_url,final_url,title,bucket,screenshot_file,status,error
77,inline|sidebar,Learn About Eating When Not Hungry | Why Do I Eat When I’m Not Hungry?,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/eating-when-not-hungry,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/eating-when-not-hungry,Why Do I Eat When I’m Not Hungry? | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/77__heart-org-en-healthy-living-healthy-eating-losing-weight-eating-when-not-hungry.png,ok,
78,inline,View these mealtime conversation starters,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/mealtime-conversation-cards,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/mealtime-conversation-cards,Mealtime Conversation Cards | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/78__heart-org-en-healthy-living-healthy-eating-eat-smart-mealtime-conversation-cards.png,ok,
79,inline|sidebar,Make Family Meals Easier: Double Up to Save Time and Money,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/easy-family-meals,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/easy-family-meals,Make Family Meals Easier: Double Up to Save Time and Money | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/79__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-easy-family-meals.png,ok,
80,inline|sidebar,Meal Planning: Benefits & How-To’s of Family Dinners | Meal Planning: Benefits and How-To’s of Family Dinners,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/meal-planning-benefits--how-tos-of-family-dinners,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/meal-planning-benefits--how-tos-of-family-dinners,Meal Planning: Benefits and How-To’s of Family Dinners | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/80__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-meal-planning-benefits-how-tos-of-family-dinners.png,ok,
81,inline|sidebar,Quick Fixes for Family Meals when There’s No Time to Grocery Shop | Quick Fixes for Family Meals When Time Is Tight,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/no-time-quick-fix-meals,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/no-time-quick-fix-meals,Quick Fixes for Family Meals When Time Is Tight | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/81__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-no-time-quick-fix-meals.png,ok,
82,inline|sidebar,Eat Healthy on a Budget by Planning Ahead | Eat Healthy on a Budget: Plan Ahead,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/eat-healthy-on-a-budget-by-planning-ahead,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/eat-healthy-on-a-budget-by-planning-ahead,Eat Healthy on a Budget: Plan Ahead | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/82__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-eat-healthy-on-a-budget-by-planning-ahead.png,ok,
83,inline|sidebar,How to Make Breakfast a Healthy Habit,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/how-to-make-breakfast-a-healthy-habit,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/how-to-make-breakfast-a-healthy-habit,How to Make Breakfast a Healthy Habit | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/83__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-how-to-make-breakfast-a-healthy-habit.png,ok,
84,inline|sidebar,Staple Ingredients for Quick Healthy Meals | Stock your pantry with staple ingredients | staple ingredients,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/staple-ingredients-for-quick-healthy-meals,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/staple-ingredients-for-quick-healthy-meals,Staple Ingredients for Quick Healthy Meals | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/84__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-staple-ingredients-for-quick-healthy-meals.png,ok,
85,inline|sidebar,Meal Planning: How to Pack a Healthy School Lunch,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/meal-planning-how-to-pack-a-healthy-school-lunch,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/meal-planning-how-to-pack-a-healthy-school-lunch,Meal Planning: How to Pack a Healthy School Lunch | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/85__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-meal-planning-how-to-pack-a-healthy-school-lunch.png,ok,
86,inline|sidebar,Meal Planning: The High-Fiber Factor Staple Ingredients for Quick Healthy Meals | 8 Ways to Focus on Fiber,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/8-ways-to-focus-on-fiber,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/8-ways-to-focus-on-fiber,8 Ways to Focus on Fiber | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/86__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-8-ways-to-focus-on-fiber.png,ok,
87,inline|sidebar,"When Kids Help Cook Healthy Family Meals Are Easier | When Kids Help Cook, Healthy Family Meals Are Easier",https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/kids-help-cook,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/kids-help-cook,"When Kids Help Cook, Healthy Family Meals Are Easier | American Heart Association",cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/87__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-kids-help-cook.png,ok,
88,inline|sidebar,5 Tips to Deal with Picky Eaters (Both Kids & Adults) | 5 Tips to Deal With Picky Eaters,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/5-tips-to-deal-with-picky-eaters-both-kids-and-adults,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/5-tips-to-deal-with-picky-eaters-both-kids-and-adults,5 Tips to Deal With Picky Eaters | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/88__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-5-tips-to-deal-with-picky-eaters-both-kids-and-adults.png,ok,
89,inline,Daily Tips to Help Your Family Eat Better | 30 Tips to Help Your Family Eat Better,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/daily-tips-to-help-your-family-eat-better,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/daily-tips-to-help-your-family-eat-better,30 Tips to Help Your Family Eat Better | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/89__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-daily-tips-to-help-your-family-eat-better.png,ok,
90,inline|sidebar,Homegrown Foods from the Garden Make Family Meals Healthier | Homegrown Foods From the Garden Make Family Meals Healthier,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/homegrown-meals,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/meal-planning/homegrown-meals,Homegrown Foods From the Garden Make Family Meals Healthier | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/90__heart-org-en-healthy-living-healthy-eating-cooking-skills-meal-planning-homegrown-meals.png,ok,
91,inline|sidebar,4 Tips to Eat Healthier When Ordering Takeout or Food Delivery,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/takeout-tips,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/takeout-tips,4 Tips to Eat Healthier When Ordering Takeout or Food Delivery  | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/91__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-takeout-tips.png,ok,
92,inline,Learn how families celebrate,https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays/celebrate-togetherness,https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays/celebrate-togetherness,Celebrate Togetherness | American Heart Association,other-healthy-eating,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/92__heart-org-en-healthy-living-healthy-eating-together-tuesdays-celebrate-togetherness.png,ok,
93,inline|sidebar,Diabetes & Heart Healthy Meals for Two | Diabetes & Heart Healthy Meals For Two,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/diabetes-and-heart-healthy-meals-for-two,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/diabetes-and-heart-healthy-meals-for-two,Diabetes & Heart Healthy Meals For Two | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/93__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-diabetes-and-heart-healthy-meals-for-two.png,ok,
94,inline|sidebar,Cooking in Color | Cooking In Color Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/cooking-in-color-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/cooking-in-color-cookbook,Cooking In Color Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/94__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-cooking-in-color-cookbook.png,ok,
95,inline|sidebar,Sodium-Smart Recipes | Sodium Smart Recipes Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/sodium-smart-recipes-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/sodium-smart-recipes-cookbook,Sodium Smart Recipes Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/95__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-sodium-smart-recipes-cookbook.png,ok,
96,inline|sidebar,American Heart Association No-Fad Diet | No-Fad Diet Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-no-fad-diet-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-no-fad-diet-cookbook,No-Fad Diet Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/96__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-no-fad-diet-cookbook.png,ok,
97,inline|sidebar,Diabetes and Heart Healthy 2nd edition | Diabetes and Heart Healthy Cookbook 2nd edition,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/diabetes-and-heart-healthy-cookbook-2nd-edition,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/diabetes-and-heart-healthy-cookbook-2nd-edition,Diabetes and Heart Healthy Cookbook 2nd edition | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/97__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-diabetes-and-heart-healthy-cookbook-2nd-edition.png,ok,
98,inline|sidebar,Go Fresh | Go Fresh Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/go-fresh-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/go-fresh-cookbook,Go Fresh Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/98__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-go-fresh-cookbook.png,ok,
99,inline|sidebar,"Grill It Braise It Broil It | Grill It, Braise It, Broil It Cookbook",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/grill-it-braise-it-broil-it-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/grill-it-braise-it-broil-it-cookbook,"Grill It, Braise It, Broil It Cookbook | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/99__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-grill-it-braise-it-broil-it-cookbook.png,ok,
100,inline|sidebar,"Healthy Fats, Low-Cholesterol | Healthy Fats, Low-Cholesterol Cookbook",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/healthy-fats-low-cholesterol-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/healthy-fats-low-cholesterol-cookbook,"Healthy Fats, Low-Cholesterol Cookbook | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/100__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-healthy-fats-low-cholesterol-cookbook.png,ok,
101,inline|sidebar,American Heart Association Healthy Family Meals Cookbook | Healthy Family Meals Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-healthy-family-meals-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-healthy-family-meals-cookbook,Healthy Family Meals Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/101__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-healthy-family-meals-cookbook.png,ok,
102,inline|sidebar,"American Heart Association Low-Salt Cookbook, 4th Edition | Low-Salt Cookbook, 4th Edition",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-low-salt-cookbook-4th-edition,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-low-salt-cookbook-4th-edition,"Low-Salt Cookbook, 4th Edition | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/102__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-low-salt-cookbook-4th-edition.png,ok,
103,inline|sidebar,America Heart Association Meals In Minutes Cookbook | Meals In Minutes Cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-meals-in-minutes-cookbook,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/aha-meals-in-minutes-cookbook,Meals In Minutes Cookbook | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/103__heart-org-en-healthy-living-healthy-eating-eat-smart-aha-cookbooks-aha-meals-in-minutes-cookbook.png,ok,
104,inline,Slow Cooker Savvy,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/techniques/slow-cooker-savvy,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/techniques/slow-cooker-savvy,Slow Cooker Savvy | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/104__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-techniques-slow-cooker-savvy.png,ok,
105,inline,Healthy Snacking | healthy snacks,https://www.heart.org/en/healthy-living/healthy-eating/add-color/healthy-snacking,https://www.heart.org/en/healthy-living/healthy-eating/add-color/healthy-snacking,Healthy Snacking | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/105__heart-org-en-healthy-living-healthy-eating-add-color-healthy-snacking.png,ok,
106,inline|sidebar,4 Protein Mistakes to Avoid Infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/4-protein-mistakes-to-avoid,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/4-protein-mistakes-to-avoid,4 Protein Mistakes to Avoid Infographic | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/106__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-4-protein-mistakes-to-avoid.png,ok,
107,inline|sidebar,The Deliciously Balanced Plate Infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/deliciously-balanced-plate-infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/deliciously-balanced-plate-infographic,The Deliciously Balanced Plate Infographic | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/107__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-deliciously-balanced-plate-infographic.png,ok,
108,inline|sidebar,Plant-based Protein Infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/plant-based-protein-infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/plant-based-protein-infographic,Plant-based Protein Infographic | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/108__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-plant-based-protein-infographic.png,ok,
109,inline|sidebar,What is healthy eating? Infographic | So you want to eat healthy? Infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/what-is-healthy-eating,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/what-is-healthy-eating,What is healthy eating? Infographic | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/109__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-what-is-healthy-eating.png,ok,
110,inline|sidebar,Go Nuts (But Just a Little!) | Nuts,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/go-nuts-but-just-a-little,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/fats/go-nuts-but-just-a-little,Go Nuts (But Just a Little!) | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/110__heart-org-en-healthy-living-healthy-eating-eat-smart-fats-go-nuts-but-just-a-little.png,ok,
111,inline|sidebar,Build a Healthier Salad Infographic,https://www.heart.org/en/healthy-living/healthy-eating/add-color/build-a-healthier-salad,https://www.heart.org/en/healthy-living/healthy-eating/add-color/build-a-healthier-salad,Build a Healthier Salad Infographic | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/111__heart-org-en-healthy-living-healthy-eating-add-color-build-a-healthier-salad.png,ok,
112,sidebar,Cooking Technique: Healthy Sautéing,https://www.heart.org/en/healthy-living/healthy-eating/add-color/cooking-technique-healthy-sauteing,https://www.heart.org/en/healthy-living/healthy-eating/add-color/cooking-technique-healthy-sauteing,Cooking Technique: Healthy Sautéing | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/112__heart-org-en-healthy-living-healthy-eating-add-color-cooking-technique-healthy-sauteing.png,ok,
113,inline|sidebar,"Fresh, Frozen or Canned Fruit and Vegetables: All Can Be Healthy Choices",https://www.heart.org/en/healthy-living/healthy-eating/add-color/fresh-frozen-or-canned-fruits-and-vegetables-all-can-be-healthy-choices,https://www.heart.org/en/healthy-living/healthy-eating/add-color/fresh-frozen-or-canned-fruits-and-vegetables-all-can-be-healthy-choices,"Fresh, Frozen or Canned Fruit and Vegetables: All Can Be Healthy Choices | American Heart Association",add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/113__heart-org-en-healthy-living-healthy-eating-add-color-fresh-frozen-or-canned-fruits-and-vegetables-all-can-be-healthy-choices.png,ok,
114,inline|sidebar,Fruit Storage Guide Infographic,https://www.heart.org/en/healthy-living/healthy-eating/add-color/fruit-storage-guide-infographic,https://www.heart.org/en/healthy-living/healthy-eating/add-color/fruit-storage-guide-infographic,Fruit Storage Guide Infographic | American Heart Association,add-color,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/114__heart-org-en-healthy-living-healthy-eating-add-color-fruit-storage-guide-infographic.png,ok,
115,sidebar,Nutrition Security,https://www.heart.org/en/healthy-living/healthy-eating/nutrition-security,https://www.heart.org/en/healthy-living/healthy-eating/nutrition-security,Nutrition Security | American Heart Association,other-healthy-eating,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/115__heart-org-en-healthy-living-healthy-eating-nutrition-security.png,ok,
116,sidebar,Healthy For Good: Spanish Infographics,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/healthy-living-spanish-infographics,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/healthy-living-spanish-infographics,Healthy For Good: Spanish Infographics | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/116__heart-org-en-healthy-living-healthy-eating-eat-smart-healthy-living-spanish-infographics.png,ok,
117,inline|sidebar,"Vegetarian, Vegan and Meatless Meals | alternative to meat",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/vegetarian-vegan-and-meals-without-meat,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/vegetarian-vegan-and-meals-without-meat,"Vegetarian, Vegan and Meatless Meals | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/117__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-vegetarian-vegan-and-meals-without-meat.png,ok,
118,inline|sidebar,"Get to Know Grains: Why You Need Them, and What to Look For | whole grains | Whole grains | whole-grain | “whole grain”",https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/whole-grains-refined-grains-and-dietary-fiber,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/whole-grains-refined-grains-and-dietary-fiber,"Get to Know Grains: Why You Need Them, and What to Look For | American Heart Association",eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/118__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-whole-grains-refined-grains-and-dietary-fiber.png,ok,
119,inline|sidebar,Healthier Condiments | healthier condiments,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/healthier-condiments,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/healthier-condiments,Healthier Condiments | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/119__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-healthier-condiments.png,ok,
120,inline|sidebar,View this infographic in Spanish | Manténgalo Fresco,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/healthy-living-spanish-infographics/mantengalo-fresco,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/healthy-living-spanish-infographics/mantengalo-fresco,Manténgalo Fresco | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/120__heart-org-en-healthy-living-healthy-eating-eat-smart-healthy-living-spanish-infographics-mantengalo-fresco.png,ok,
121,inline|sidebar,Spanish version (PDF) | Estaciones de los Alimentos | Alimentos de Temporada,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/healthy-living-spanish-infographics/alimentos-de-temporada,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/healthy-living-spanish-infographics/alimentos-de-temporada,Estaciones de los Alimentos | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/121__heart-org-en-healthy-living-healthy-eating-eat-smart-healthy-living-spanish-infographics-alimentos-de-temporada.png,ok,
122,inline|sidebar,Don't Fry! Give Healthy Cooking Methods a Try | Don't fry! Give Healthy Cooking Methods a Try,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/techniques/healthy-cooking-methods,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/techniques/healthy-cooking-methods,Don't Fry! Give Healthy Cooking Methods a Try | American Heart Association | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/122__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-techniques-healthy-cooking-methods.png,ok,
123,sidebar,Fruit,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/fruit,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/fruit,Fruit | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/123__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-fruit.png,ok,
124,inline|sidebar,Common Terminology for Healthy Cooking | healthy cooking terms and techniques,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/common-terminology-for-healthy-cooking,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/common-terminology-for-healthy-cooking,Common Terminology for Healthy Cooking | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/124__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-common-terminology-for-healthy-cooking.png,ok,
125,inline|sidebar,Common Terminology: The Science of Food,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/common-terminology-the-science-of-food,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/common-terminology-the-science-of-food,Common Terminology: The Science of Food | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/125__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-common-terminology-the-science-of-food.png,ok,
126,sidebar,Grains,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/grains,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/grains,Grains | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/126__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-grains.png,ok,
127,inline|sidebar,How to Cook Healthier at Home,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/how-to-cook-healthier-at-home,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/how-to-cook-healthier-at-home,How to Cook Healthier at Home | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/127__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-how-to-cook-healthier-at-home.png,ok,
128,inline|sidebar,Smart Substitutions to Improve Nutrition Without Sacrificing Taste | simple substitutions | healthier substitutions,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/smart-substitutions-to-eat-healthy,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/smart-substitutions-to-eat-healthy,Smart Substitutions to Improve Nutrition Without Sacrificing Taste | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/128__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-smart-substitutions-to-eat-healthy.png,ok,
129,sidebar,Protein,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/protein,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/protein,Protein | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/129__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-protein.png,ok,
130,inline|sidebar,Techniques | how-to videos and articles,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/techniques,https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills/cooking/techniques,Techniques | American Heart Association,cooking-skills,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/130__heart-org-en-healthy-living-healthy-eating-cooking-skills-cooking-techniques.png,ok,
