order,source_types,link_texts,input_url,final_url,title,bucket,screenshot_file,status,error
47,inline|sidebar,What are healthy alternatives to favorite foods? | Healthy Swaps for Common Foods,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/healthy-swaps-for-common-foods,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/healthy-swaps-for-common-foods,Healthy Swaps for Common Foods | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/47__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-healthy-swaps-for-common-foods.png,ok,
48,inline|sidebar,How can I make sense of the nutrition facts on packaged food? | Understanding Food Nutrition Labels | Read labels. | Nutrition Facts label,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/understanding-food-nutrition-labels,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/understanding-food-nutrition-labels,Understanding Food Nutrition Labels | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/48__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-understanding-food-nutrition-labels.png,ok,
49,inline|sidebar,What is a healthy kids diet? | Dietary Recommendations for Healthy Children,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/dietary-recommendations-for-healthy-children,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/dietary-recommendations-for-healthy-children,Dietary Recommendations for Healthy Children | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/49__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-dietary-recommendations-for-healthy-children.png,ok,
50,inline|sidebar,How much salt should I eat? | How Much Sodium Should I Eat Per Day? | sodium,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-much-sodium-should-i-eat-per-day,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-much-sodium-should-i-eat-per-day,How Much Sodium Should I Eat Per Day? | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/50__heart-org-en-healthy-living-healthy-eating-eat-smart-sodium-how-much-sodium-should-i-eat-per-day.png,ok,
51,inline|sidebar,How do I reduce sodium intake? | How to Reduce Sodium in Your Diet,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-to-reduce-sodium,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/how-to-reduce-sodium,How to Reduce Sodium in Your Diet | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/51__heart-org-en-healthy-living-healthy-eating-eat-smart-sodium-how-to-reduce-sodium.png,ok,
52,inline|sidebar,Is sodium bad for you? | Get the Scoop on Sodium and Salt | Sodium and salty foods,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/sodium-and-salt,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/sodium-and-salt,Get the Scoop on Sodium and Salt | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/52__heart-org-en-healthy-living-healthy-eating-eat-smart-sodium-sodium-and-salt.png,ok,
53,inline|sidebar,Why is salt bad for you? | Effects of Excess Sodium Infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/effects-of-excess-sodium-infographic,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/effects-of-excess-sodium-infographic,Effects of Excess Sodium Infographic | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/53__heart-org-en-healthy-living-healthy-eating-eat-smart-sodium-effects-of-excess-sodium-infographic.png,ok,
54,inline|sidebar,Should kids have salt? | Sodium and Kids,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/sodium-and-kids,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sodium/sodium-and-kids,Sodium and Kids | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/54__heart-org-en-healthy-living-healthy-eating-eat-smart-sodium-sodium-and-kids.png,ok,
55,inline|sidebar,How many grams of sugar per day? | How Much Sugar Is Too Much?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar/how-much-sugar-is-too-much,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar/how-much-sugar-is-too-much,How Much Sugar Is Too Much? | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/55__heart-org-en-healthy-living-healthy-eating-eat-smart-sugar-how-much-sugar-is-too-much.png,ok,
56,inline|sidebar,Is sugar addictive? | Sugar: Shrink the sweet spot for blood sugar health,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar/sugar-shrink-the-sweet-spot-for-blood-sugar-health,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/sugar/sugar-shrink-the-sweet-spot-for-blood-sugar-health,Sugar: Shrink the sweet spot for blood sugar health | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/56__heart-org-en-healthy-living-healthy-eating-eat-smart-sugar-sugar-shrink-the-sweet-spot-for-blood-sugar-health.png,ok,
